scheme,p_model,threshold_kb,kmin_kb,k_slope,k_scale,corr_interval_ms,tau_corr_ms,waste_mb,sender_A_rc_cv,sender_A_rc_mean_gbps,sender_A_rc_std_gbps,sender_B_rc_cv,sender_B_rc_mean_gbps,sender_B_rc_std_gbps
scheme1,scheme1_kq_threshold,5,,5.00801282051282e-07,0.5,,,53.433520811190995,0.008772174020727708,19.972534375328067,0.17520254717534398,0.0088270686968905,19.940735543458715,0.1760182425086362
scheme1,scheme1_kq_threshold,5,,1.001602564102564e-06,1.0,,,54.049597736164884,0.010575744525779395,19.93128785949745,0.21078820847181348,0.010644315640672627,19.889695268203536,0.21171219443155126
scheme1,scheme1_kq_threshold,5,,2.003205128205128e-06,2.0,,,54.49746517256848,0.012356545672782875,19.87842780301024,0.24562870105101298,0.012469828539280262,19.841604527109805,0.24742140639726629
scheme1,scheme1_kq_threshold,50,,5.00801282051282e-07,0.5,,,54.14629417234072,0.02286461374842573,19.862590705734842,0.454150464529698,0.022948241421719404,19.842540876732343,0.4553514184595896
scheme1,scheme1_kq_threshold,50,,1.001602564102564e-06,1.0,,,54.52544615324437,0.023244979477058923,19.848770571656082,0.46138426458299675,0.02324239609908527,19.84617407779929,0.4612726389676094
scheme1,scheme1_kq_threshold,50,,2.003205128205128e-06,2.0,,,54.66808706799731,0.02334112507976872,19.84668542514351,0.46324396692709746,0.023327385883403013,19.846616966906925,0.4629696924671313
scheme2,scheme2_k_q_minus_kmin,,5,5.00801282051282e-07,0.5,,,53.27434266675134,0.008421557742346228,20.001857953611943,0.16844680171055013,0.008435150325614144,19.97799278992923,0.16851737238708858
scheme2,scheme2_k_q_minus_kmin,,5,1.001602564102564e-06,1.0,,,53.7874103779872,0.00932356586667172,19.97599582583321,0.18624751283451527,0.00939060330031674,19.943807136626813,0.1872843811180883
scheme2,scheme2_k_q_minus_kmin,,5,2.003205128205128e-06,2.0,,,54.150915461561446,0.010482507181277434,19.94412081120791,0.20906438962775165,0.010580763537447253,19.905002258920224,0.21061012211398833
scheme2,scheme2_k_q_minus_kmin,,50,5.00801282051282e-07,0.5,,,53.31856553898963,0.01941243414839363,20.000267587429743,0.3882538774912314,0.019547043772468395,19.954853670854654,0.3900583981773975
scheme2,scheme2_k_q_minus_kmin,,50,1.001602564102564e-06,1.0,,,53.93752685692737,0.02053830266324774,19.959853305951146,0.4099415083116506,0.020649210415953096,19.913321117019862,0.4111943578257853
scheme2,scheme2_k_q_minus_kmin,,50,2.003205128205128e-06,2.0,,,54.36963880115502,0.022061551608885472,19.8968872804611,0.4389562055940695,0.02222118848426999,19.863550430350145,0.44139169807961287
scheme3,classic_red,,,,,0.2,0.5,53.82629989120873,0.012392384917407618,19.979601922259043,0.24759491751721122,0.012443905650314656,19.939239689588454,0.248122017436248
scheme3,classic_red,,,,,0.2,2.0,54.20531481674771,0.03394413379656914,19.816288684846953,0.6726467544698841,0.03402333747051572,19.791574244488817,0.6733754095930102
scheme3,classic_red,,,,,0.2,10.0,52.781743820235164,0.22928553512362376,19.04014432204262,4.365629679710569,0.22936684675081398,19.03852749200856,4.366807017620686
scheme3,classic_red,,,,,1.0,0.5,53.82361761830367,0.012442318154835002,19.978620875624863,0.2485803572293528,0.012511529459483606,19.938525590135345,0.24946145029964611
scheme3,classic_red,,,,,1.0,2.0,54.211271713577545,0.03419113445671657,19.819407743637182,0.6776480350151886,0.03423235901508813,19.795588376871557,0.6776496882319728
scheme3,classic_red,,,,,1.0,10.0,52.97633076392819,0.2294894371361339,19.03886351405834,4.369218071552925,0.22957147306482534,19.03724636741574,4.370408691665626
scheme3,classic_red,,,,,5.0,0.5,54.04362762558318,0.050217952567137215,19.8511937684796,0.9968863070665585,0.05024109488401134,19.835938498726854,0.9965792682279494
scheme3,classic_red,,,,,5.0,2.0,54.22514810065759,0.05227343665450539,19.80312448709387,1.035177373437386,0.05235753659800545,19.78791876858579,1.0360466811245894
scheme3,classic_red,,,,,5.0,10.0,53.916095192588514,0.22538838271885714,19.060193727042577,4.295946238446232,0.22546909990026473,19.058295683802427,4.297056773460033
