k,sender,branch,t_ms,q_kb,q_tau0_kb,q_tau0_tau_star_kb,q_thresh_kb,r_ms,rhat_ms,theta_ms,sigma,g,g_target,R_gbps,dR_gbps_per_s,dg_per_s
0,S,AI,0.0,0.0,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.0,33.333333333,0.0
1,S,AI,0.01,97.65625,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.000333333,33.333333333,0.0
2,S,AI,0.02,195.312907,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.000666667,33.333333333,0.0
3,S,AI,0.03,292.969971,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.001,33.333333333,0.0
4,S,AI,0.04,390.627441,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.001333333,33.333333333,0.0
5,S,AI,0.05,488.285319,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.001666667,33.333333333,0.0
6,S,AI,0.06,585.943604,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.002,33.333333333,0.0
7,S,AI,0.07,683.602295,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.002333333,33.333333333,0.0
8,S,AI,0.08,781.261393,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.002666667,33.333333333,0.0
9,S,AI,0.09,878.920898,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.003,33.333333333,0.0
10,S,AI,0.1,976.580811,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.003333333,33.333333333,0.0
11,S,AI,0.11,1074.24113,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.003666667,33.333333333,0.0
12,S,AI,0.12,1171.901855,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.004,33.333333333,0.0
13,S,AI,0.13,1269.562988,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.004333333,33.333333333,0.0
14,S,AI,0.14,1367.224528,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.004666667,33.333333333,0.0
15,S,AI,0.15,1464.886475,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.005,33.333333333,0.0
16,S,AI,0.16,1562.548828,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.005333333,33.333333333,0.0
17,S,AI,0.17,1660.211589,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.005666667,33.333333333,0.0
18,S,AI,0.18,1757.874756,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.006,33.333333333,0.0
19,S,AI,0.19,1855.53833,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.006333333,33.333333333,0.0
20,S,AI,0.2,1953.202311,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.006666667,33.333333333,0.0
21,S,AI,0.21,2050.866699,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.007,33.333333333,0.0
22,S,AI,0.22,2148.531494,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.007333333,33.333333333,0.0
23,S,AI,0.23,2246.196696,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.007666667,33.333333333,0.0
24,S,AI,0.24,2343.862305,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.008,33.333333333,0.0
25,S,AI,0.25,2441.52832,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.008333333,33.333333333,0.0
26,S,AI,0.26,2539.194743,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.008666667,33.333333333,0.0
27,S,AI,0.27,2636.861572,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.009,33.333333333,0.0
28,S,AI,0.28,2734.528809,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.009333333,33.333333333,0.0
29,S,AI,0.29,2832.196452,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.009666667,33.333333333,0.0
30,S,AI,0.3,2929.864502,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.01,33.333333333,0.0
31,S,AI,0.31,3027.532959,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.010333333,33.333333333,0.0
32,S,AI,0.32,3125.201823,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.010666667,33.333333333,0.0
33,S,AI,0.33,3222.871094,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.011,33.333333333,0.0
34,S,AI,0.34,3320.540771,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.011333333,33.333333333,0.0
35,S,AI,0.35,3418.210856,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.011666667,33.333333333,0.0
36,S,AI,0.36,3515.881348,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.012,33.333333333,0.0
37,S,AI,0.37,3613.552246,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.012333333,33.333333333,0.0
38,S,AI,0.38,3711.223551,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.012666667,33.333333333,0.0
39,S,AI,0.39,3808.895264,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.013,33.333333333,0.0
40,S,AI,0.4,3906.567383,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.013333333,33.333333333,0.0
41,S,AI,0.41,4004.239909,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.013666667,33.333333333,0.0
42,S,AI,0.42,4101.912842,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.014,33.333333333,0.0
43,S,AI,0.43,4199.586182,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.014333333,33.333333333,0.0
44,S,AI,0.44,4297.259928,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.014666667,33.333333333,0.0
45,S,AI,0.45,4394.934082,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.015,33.333333333,0.0
46,S,AI,0.46,4492.608643,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.015333333,33.333333333,0.0
47,S,AI,0.47,4590.28361,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.015666667,33.333333333,0.0
48,S,AI,0.48,4687.958984,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.016,33.333333333,0.0
49,S,AI,0.49,4785.634766,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.016333333,33.333333333,0.0
50,S,AI,0.5,4883.310954,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.016666667,33.333333333,0.0
51,S,AI,0.51,4980.987549,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.017,33.333333333,0.0
52,S,AI,0.52,5078.664551,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.017333333,33.333333333,0.0
53,S,AI,0.53,5176.34196,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.017666667,33.333333333,0.0
54,S,AI,0.54,5274.019775,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.018,33.333333333,0.0
55,S,AI,0.55,5371.697998,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.018333333,33.333333333,0.0
56,S,AI,0.56,5469.376628,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.018666667,33.333333333,0.0
57,S,AI,0.57,5567.055664,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.019,33.333333333,0.0
58,S,AI,0.58,5664.735107,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.019333333,33.333333333,0.0
59,S,AI,0.59,5762.414958,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.019666667,33.333333333,0.0
